Year;NameOnly.abs;NameOnly.rel;Bib.Ref.abs;Bib.Ref.rel;Bib.Soft.abs;Bib.Soft.rel;Agent.abs;Agent.rel;URL.abs;URL.rel;PID.abs;PID.rel;Ver.abs;Ver.rel
2016;6;0.14634146341463414;15;0.36585365853658536;17;0.4146341463414634;19;0.4634146341463415;25;0.6097560975609756;0;0;2;0.04878048780487805
2017;6;0.3157894736842105;10;0.5263157894736842;3;0.15789473684210525;7;0.3684210526315789;9;0.47368421052631576;0;0;1;0.05263157894736842
2018;11;0.23404255319148937;22;0.46808510638297873;8;0.1702127659574468;16;0.3404255319148936;23;0.48936170212765956;1;0.02127659574468085;5;0.10638297872340426
2019;11;0.2894736842105263;14;0.3684210526315789;2;0.05263157894736842;12;0.3157894736842105;20;0.5263157894736842;1;0.02631578947368421;4;0.10526315789473684
2020;7;0.16666666666666666;15;0.35714285714285715;5;0.11904761904761904;13;0.30952380952380953;26;0.6190476190476191;2;0.047619047619047616;5;0.11904761904761904
