Year,NameOnly.abs,NameOnly.rel,Bib.Ref.abs,Bib.Ref.rel,Bib.Soft.abs,Bib.Soft.rel,Agent.abs,Agent.rel,URL.abs,URL.rel,PID.abs,PID.rel,Ver.abs,Ver.rel
2016,8,0.15384615384615385,17,0.3269230769230769,23,0.4423076923076923,19,0.36538461538461536,31,0.5961538461538461,0,0,2,0.038461538461538464
2017,7,0.30434782608695654,11,0.4782608695652174,4,0.17391304347826086,4,0.17391304347826086,8,0.34782608695652173,0,0,0,0
2018,12,0.23529411764705882,23,0.45098039215686275,9,0.17647058823529413,6,0.11764705882352941,23,0.45098039215686275,0,0,4,0.0784313725490196
2019,11,0.24444444444444444,17,0.37777777777777777,4,0.08888888888888889,9,0.2,24,0.5333333333333333,0,0,5,0.1111111111111111
2020,8,0.1702127659574468,16,0.3404255319148936,6,0.1276595744680851,7,0.14893617021276595,28,0.5957446808510638,1,0.02127659574468085,5,0.10638297872340426
